costat,curcdq,datafmt,indfmt,consol,tic,datadate,gvkey,datacqtr,cheq,chq,dlcq,dlttq,rstcheltq,rstcheq
A,USD,STD,INDL,C,MSTR,2021-03-31,111534,2021Q1,83.738,82.544,10.651,1743.763,,1.194
A,USD,STD,INDL,C,MSTR,2021-06-30,111534,2021Q2,57.604,56.399,10.0,2231.827,,1.205
A,USD,STD,INDL,C,MSTR,2021-09-30,111534,2021Q3,58.124,56.975,9.761,2231.973,,1.149
A,USD,STD,INDL,C,MSTR,2021-12-31,111534,2021Q4,64.434,63.356,9.211,2231.759,,1.078
A,USD,STD,INDL,C,MSTR,2022-03-31,111534,2022Q1,98.942,92.677,,2435.821,,6.265
A,USD,STD,INDL,C,MSTR,2022-06-30,111534,2022Q2,75.541,69.386,,2447.025,,6.155
A,USD,STD,INDL,C,MSTR,2022-09-30,111534,2022Q3,66.968,60.39,,2446.213,,6.578
A,USD,STD,INDL,C,MSTR,2022-12-31,111534,2022Q4,50.868,43.835,10.506,2445.904,,7.033
A,USD,STD,INDL,C,MSTR,2023-03-31,111534,2023Q1,96.464,94.311,0.46,2241.273,,2.153
A,USD,STD,INDL,C,MSTR,2023-06-30,111534,2023Q2,68.053,65.968,0.468,2241.788,,2.085
A,USD,STD,INDL,C,MSTR,2023-09-30,111534,2023Q3,46.874,45.009,0.475,2239.758,,1.865
A,USD,STD,INDL,C,MSTR,2023-12-31,111534,2023Q4,48.673,46.817,10.946,2243.194,,1.856
A,USD,STD,INDL,C,MSTR,2024-03-31,111534,2024Q1,83.728,81.326,0.492,3617.231,,2.402
A,USD,STD,INDL,C,MSTR,2024-06-30,111534,2024Q2,68.801,66.923,145.119,3759.925,,1.878
A,USD,STD,INDL,C,MSTR,2024-09-30,111534,2024Q3,48.205,46.343,0.509,4269.444,,1.862
A,USD,STD,INDL,C,MSTR,2024-12-31,111534,2024Q4,39.897,38.117,10.901,7247.561,,1.78
A,USD,STD,INDL,C,MSTR,2025-03-31,111534,2025Q1,62.258,60.298,0.525,8193.847,,1.96
A,USD,STD,INDL,C,MSTR,2025-06-30,111534,2025Q2,52.132,50.095,0.349,8213.499,,2.037
A,USD,STD,INDL,C,MSTR,2025-09-30,111534,2025Q3,56.2,54.285,0.316,8221.749,,1.915
A,USD,STD,INDL,C,MSTR,2025-12-31,111534,2025Q4,45.0,43.0,0.32,8221.75,,1.9
